Id,Sentiment,Tweet
1248832965708152838,0,
1248832966136127489,0,
1248832966492672001,0,
1248832966635278336,0,
1248832967092273153,0,
1248832967033511936,0.43333333333333300,
1248832967624949760,0.4,
1248832968270831618,0.5,
1248832968476356608,0,
1248832969743228933,0,
1248832969801789440,-0.5,
1248832970137296901,0,
1248832970145910784,0.5,
1248832970531713024,0,
1248832973060833280,0.1,
1248832974734405632,0,
1248832975334035456,-0.5,
1248832975774666752,0.11000000000000000,
1248832977993252864,0,
1248832977984872448,0.05000000000000000,
1248832978261692422,0.1,
1248832978173792256,0.9,
1248832983504539651,0,
1248832984678948864,0.5,
1248832986734362630,0.10000000000000000,
1248832987493470210,0.125,
1248832987849822209,-0.02944444444444450,
1248832989360017408,-0.2916666666666670,
1248832988432891904,0.11000000000000000,
1248832989456297984,-0.16666666666666700,
1248832990458699777,1,
1248832991305936896,0,
1248832992786685952,0,
1248832992811745280,0,
1248832994472677376,0.23484848484848500,
1248832994665566208,0.21349206349206300,
1248832995143741441,0.5,
1248832996855013377,0,
1248832997442203650,0,
1248832998406938624,-0.10000000000000000,
1248832998557933568,1,
1248832998755176448,-0.2,
1248832999573147650,0.21428571428571400,
1248833000504061959,0,
1248833003633033218,0.1,
1248833004090183680,0.5166666666666670,
1248833004270546945,0,
1248833004480290816,0,
1248833006128652289,-0.4,
1248833006468562945,0,
1248833007592431616,0.2,
1248833008221581313,0.375,
1248833008859140096,0,
1248833009157111808,0,
1248833009576366081,0,
1248833010276929536,0,
1248833010436206592,0.16363636363636400,
1248833010734108672,-0.3,
1248833010897543169,-0.06666666666666670,
1248833011392696320,0,
1248833012143468544,-0.25,
1248833013775024128,-0.19444444444444400,
1248833014349660160,1,
1248833015746265088,0.7,
1248833015611944960,-0.2,
1248833015800709120,0,
1248833016094281728,-0.07142857142857140,
1248833015779692544,0,
1248833017407107073,-0.005454545454545460,
1248833018183274496,0,
1248833017566515200,0.21212121212121200,
1248833018849972224,0.1,
1248833019906940928,0,
1248833020632739840,0,
1248833020833890304,0.35714285714285700,
1248833021349736454,0.05833333333333340,
1248833021563658241,0,
1248833020813082626,0,
1248833021811331073,0.2,
1248833023472095237,0,
1248833024164106240,0,
1248833025531469826,0.5,
1248833026441822214,0.15,
1248833026857078784,0.425,
1248833027674984449,-0.6,
1248833027846914048,0,
1248833028572381189,0.1875,
1248833028513845249,-0.03125,
1248833030061342720,-0.10000000000000000,
1248833030807937025,0.050000000000000000,
1248833031605026816,0,
1248833033463046146,-0.4,
1248833033827840000,0.4333333333333330,
1248833034075267072,-0.5,
1248833034343907328,0.5,
1248833034339614721,0,
1248833037023887361,0.25,
1248833037070028802,0.3,
1248833037934223361,0.1619047619047620,
1248833039255232515,1,
1248833039884595200,0,
1248833040383500289,0,
1248833040945577984,0,
1248833041201418240,0,
1248833042103152640,0,
1248833042908577792,0.16363636363636400,
1248833043923525632,0,
1248833044418457600,-0.5,
1248833045039206400,-0.08571428571428570,
1248833047148937217,0,
1248833047891509249,0.05833333333333340,
1248833047824412672,0,
1248833048826777600,0.15388257575757600,
1248833049749377024,0.35,
1248833051649441792,-0.1625,
1248833052001751040,-0.3333333333333330,
1248833052031115264,-0.5,
1248833052442161152,0,
1248833052786274305,0.00833333333333336,
1248833057005551616,0.5,
1248833057018257408,0.5,
1248833057441775616,0.05833333333333340,
1248833057789886464,0,
1248833057903140867,-0.005454545454545460,
1248833061199867905,0.1875,
1248833061631840258,0.15454545454545500,
1248833064001851392,0,
1248833065255870466,0,
1248833065960402944,-0.23666666666666700,
1248833067281559553,-0.5,
1248833067646681088,0.25,
1248833070402162689,0,
1248833071014711296,0.08333333333333330,
1248833071115194369,0,
1248833072507662338,-0.5,
1248833073283657728,1,
1248833074663653382,0.45,
1248833074739150848,-0.5,
1248833074940366849,-0.15555555555555600,
1248833076450508800,0,
1248833077817806848,0,
1248833079860498433,-0.4,
1248833080128720896,0,
1248833081068228610,0,
1248833081961852929,-0.7000000000000000,
1248833082741755904,-0.2,
1248833083299659776,0.2,
1248833083635351552,0,
1248833084163862528,-0.1,
1248833084163645440,-0.35555555555555600,
1248833084591460352,0.1875,
1248833085321261056,0,
1248833085241581572,0.2,
1248833086126579712,0.2,
1248833087137558528,0,
1248833087347154944,0,
1248833088009846784,0,
