,Id,Sentiment,Tweet
91,1265501052834590720,0.0,RT @dawnegurl: @newsGuy760 @MsuTrump @FascistTwatter @KarenBSpunky @jCPub19 @POTUS @VP @IngrahamAngle @TuckerCarlson @marthamaccallum @mark…
92,1265501052826247171,0.7,
93,1265501052977233920,0.0,RT @republic: Oxford COVID-19 trial of HCQ to continue despite WHO's temporary suspension of the drug https://t.co/wbie2xxzwS
94,1265501053065334788,0.6,
95,1265501053472169984,0.0,"RT @RBReich: Since Nebraska reopened on May 4, coronavirus cases in Colfax County alone surged 1,390%.

I'm going to go out on a limb and s…"
96,1265501053556011009,0.0,
97,1265501053572833281,0.0333333333333333,
98,1265501053568638977,-0.0625,
99,1265501053795151873,0.125,"RT @i3loshy: "" يا الله ، هذه المرة لا أطلب منك شيئا.. ولكني أشكرك على كل ما لدي ."" https://t.co/yxDIaAZjvj"
100,1265501053862187011,0.0,
101,1265501054331957248,0.0,"RT @JNJNews: After years of investigating infectious diseases like HIV and Ebola, @JanssenGlobal's Dr. Hanneke Schuitemaker and her team ar…"
102,1265501054713696257,0.0625,
103,1265501054357180425,-0.0722222222222222,
104,1265501054839525376,-0.0333333333333333,"RT @Lrihendry: I am much more afraid of a Democrat in the White House than I am of COVID-19, aren’t you?"
105,1265501055116349445,0.0,
106,1265501055393107968,0.25,
107,1265501055623757825,0.0666666666666667,@kentanksad @subtanyarl idaman gue
108,1265501055686754304,0.0,RT @vasquezdani07: Puto covid
109,1265501055934181376,0.0,RT @marisa_965: My country is dying and nobody cares. 😭😭😭
110,1265501056068456450,0.7,
111,1265501056869507073,0.0,
112,1265501056961781761,0.0353571428571429,
113,1265501057729298432,0.1,
114,1265501057901363200,0.35,"RT @laurenkatekelly: Well, it finally happened! Today a well-meaning acquaintance suggested I didn’t have a good understanding of JobKeeper…"
115,1265501058077528064,0.0,RT @SpongeBob: We’ve got you covered! @Nickelodeon is donating 100% of proceeds from SpongeBob face masks to @SavetheChildren COVID-19 Glob…
116,1265501058178199554,-0.15,
117,1265501058450808833,0.0,
118,1265501058392043521,0.125,
119,1265501058723348482,0.0666666666666667,"RT @ClubAmerica_EN: 90'+ | GOOOOOOOOOOOL!!!!
INCREDIBLE!!!!!! IT'S A MIRACLE!!!!!!! IT'S OUR GOALIE MOISÉS MUÑOZ WHO SCORES AND SENDS US TO…"
120,1265501058685710338,0.05,"RT @infirmierSNPI: Nouvelle preuve de l'incompétence de la technostructure !
Retard à l'allumage à chaque phase depuis l'arrivée du #COVID1…"
121,1265501058815725570,-0.333333333333333,
122,1265501058928906243,0.0,NO MORE JOBS IN 2020❌❌❌ SOCIETY HAS PROGRESSED BEYOND THE NEED FOR JOBS ❌❌❌
123,1265501059012792321,0.0,
124,1265501059059003392,0.0954545454545455,"RT @FinancialTimes: Silent pachinko gaming halls, masked karaoke and gym treadmills with speed limits are all part of Japan’s new normal as…"
125,1265501059038019587,0.5,
126,1265501059142778880,0.0,"RT @isfBob: 26-May #COVID19 WW cumulative Deaths per Capita chart. Reported total US deaths were +0.7% today (693 deaths), bringing the 5-d…"
127,1265501059537133568,0.0,RT @jennajameson: Why do we have covid tracers and not pedo tracers?
128,1265501059654524928,0.5,Interesting https://t.co/8iLJO9Jbjq
129,1265501059730092037,-0.3,
130,1265501059436421123,0.266666666666667,
131,1265501059952398336,0.0,RT @GovSisolak: The Board was briefed on how these various entities have worked with the gaming industry to ensure that there is a comprehe…
132,1265501060313092099,0.0,"@duds_souuzaa @cacau_bm4 você sempre foi uma mina forte pra caralho, você consegue 💗"
133,1265501060476608514,0.4,
134,1265501060334051330,-0.4325,
135,1265501061105803264,-0.154545454545455,"RT @DrEricDing: ⚠️Cloaking trick: new worrisome study finds #SARSCoV2 🦠 removes molecules used to identify invaders. Normally, MHC samples…"
136,1265501061407801349,0.7,
137,1265501061487439875,-0.155555555555556,
138,1265501061634306050,-0.0625,
139,1265501061814652928,0.325,RT @JeromeAdamsMD: This popped up in my mentions today- I want to recognize First Lady Murphy for her attention to this important issue.  S…
140,1265501061944676353,0.05,
141,1265501061927833601,-0.625,
142,1265501062104076288,0.0,"RT @NikolovScience: WHO did not declared COVID19 outbreak as a global pandemic until March 11, 2020: https://t.co/XOx0pkkQrl

How did Bill…"
143,1265501062242480134,0.5,
144,1265501061294559235,-0.0541666666666667,
145,1265501062305382400,0.7,RT @sahelhaque: If coronavirus didn’t exist I genuinely believe Summer 2020 would’ve been the best yet idc
146,1265501062376685578,0.0,
147,1265501062569570305,0.0,
148,1265501062770954242,0.3125,
149,1265501062837960704,-0.025,"""Uber has also been offloading products that either have been afforded too long of a development window or didn’t m… https://t.co/sOYDpPZEUL"
150,1265501063093813251,0.0,
151,1265501063349665798,-0.138425925925926,
152,1265501063337172999,0.0,
153,1265501063525867530,-0.025,
154,1265501063823704065,-0.116666666666667,
155,1265501063735652353,0.025,
156,1265501063983087620,0.0,
157,1265501063991492608,0.0,"RT @B52Malmet: How come people are acting like the pandemic is over when over 100,000 people have died from #coronavirus ?"
158,1265501064067010564,0.0,
159,1265501064234782732,0.1875,
160,1265501064436072448,-0.0224537037037037,@MopediWaPokgomo @AdvoBarryRoux What if the coronavirus was used to address the issue of global warming I mean when… https://t.co/B7F3JOEPQX
161,1265501064624771080,0.166666666666667,
162,1265501064654176256,-0.4,"RT @RachelNotley: I am deeply troubled that cuts by 
@jkenney and the UCP have delayed - at least - the transition to establishing a univer…"
163,1265501064889077760,0.0,RT @ajplus: This all-female group of domestic workers are on a mission to deliver food to fellow domestic workers in need during the corona…
164,1265501064935153664,0.3,"RT @ryanstruyk: ""This is an instruction as old as the Bible. You are supposed to love your fellow man and woman, and that is what we are do…"
165,1265501065056837633,0.0,
166,1265501063802687488,0.0222222222222222,"RT @ericgarland: I think we see just how much Barr was attempting to shut down. These were not isolated incidents, but widespread betrayals."
167,1265501065325293569,0.1,
168,1265501065358848002,0.1,
169,1265501065581072384,0.6,RT @matttanderton: Ba Sing Se has reported ZERO cases of the coronavirus. This is the kind of leadership we need. https://t.co/NmWYrFfeAt
170,1265501065778212869,0.0,
171,1265501065677602818,0.0,
172,1265501065853702144,-0.25,RT @JeffKasanoff: Very American to decide we are bored with COVID and therefore it is over
173,1265501065971208193,0.5,
174,1265501066151505921,0.0,
175,1265501066063499272,-0.2,
176,1265501066298343424,0.05,RT @rosannecash: My daughter lives in Nashville &amp; wore her mask to buy groceries. Guy yells at her: ‘Liberal pussy!’ Back story: she nearly…
177,1265501066520559617,0.0,
178,1265501066797502466,0.25,
179,1265501066747097088,-0.475,
180,1265501066826846210,-0.275,"RT @falla_adinda: Makanya kalau kelen peratiin w ga pernah pake kata herd immunity untuk menggambarkan situasi sekarang atau ke depan.
Enak…"
181,1265501067300790274,-0.75,
182,1265501067586031623,0.113636363636364,
183,1265501068059914248,-0.0333333333333333,
184,1265501068131217409,0.0,
185,1265501068173217793,-0.152777777777778,
186,1265501068504506368,0.0,"RT @JohnRalls: There are 26 RED states and 24 BLUE states.

Out of 100,000 #coronavirus deaths, approx. 75% occurred in BLUE states? 

RED…"
187,1265501068538064897,0.35,
188,1265501068550692865,0.0,
189,1265501068584275969,0.0,
190,1265501068781391872,0.0,"RT @Forbes: Throughout Covid-19, Starbucks has offered employees who reported into work an additional $3 per hour and extended hardship gra…"
191,1265501068756160521,-0.25,
192,1265501069066612737,0.111111111111111,
193,1265501068961746944,0.0,Finance Minister Ben Wyatt announced changes today that will make it easier for State Government agencies to award… https://t.co/npaBWhrUhe
194,1265501069653803008,0.0,RT @MANOJKATHOTIA: Thermocol beds for corona patients with10% buy back value          @mybmc https://t.co/7hKwIobmaM
195,1265501069708341249,0.0833333333333333,
196,1265501069737635840,0.0,This. 👇 https://t.co/lJH3Hjnfc6
197,1265501069922177025,0.0,
198,1265501069829955586,0.0,@Emblue0 @minister_moe_sa ✅
199,1265501069989294087,0.0,
200,1265501070299746305,0.45,
201,1265501070190620672,0.8,So proud to be a member of the @ELCA https://t.co/756u7XyP91
202,1265501070333300739,0.333333333333333,
203,1265501070601728000,-0.0125,"RT @LAPDHQ: When both of his parents lost their jobs due to COVID19, this young man, who also happens to be an LAPD Cadet, took matters int…"
204,1265501070698168320,0.0,RT @murtaugh: @SteveKrak “Governor John Carney issued a modified State of Emergency declaration that requires Delawareans to wear face cove…
205,1265501070735945728,0.0666666666666667,RT @GretaThunberg: More than 200 organisations representing at least 40 million health workers have signed an open letter to the G20 leader…
